,Respondent ID,Gender Role,Region of Ancestry: Africa,Region of Ancestry: East Asia and the Pacific,Region of Ancestry: Europe and Central Asia,Region of Ancestry: South Asia,Region of Ancestry: Middle East and North Africa,Region of Ancestry: Latin America and The Carribean,Current Region of Occupancy: West Coast,Current Region of Occupancy: The Midwest,Current Region of Occupancy: East Coast,Current Region of Occupancy: The South,Current Region of Occupancy: The North,Ethnicity: Black,Ethnicity: Caucasian,Ethnicity: Asian,Ethnicity: Hispanic or Latino,Ethnicity: Middle Eastern,Biological Gender,Education: Associate Degree,Education: Master's Degree,Education: High School Degree,Education: Trade School,Education: Bachelor's Degree,Education: Did not graduate high school,Education: Professional Degree,Education: Doctorate Degree,Income Range,Occupation: Unemployed,"Occupation: Professional, e.g. doctor, lawyer, teacher, executive",Occupation: Other,"Occupation: Specialist, e.g. technician, carpenter, hairdresser","Occupation: Office work, e.g. clerk, salesperson, secretary",Occupation: Retired,"Occupation: Service Industry, e.g. Farm labor, food service, house cleaner",Occupation: Student,Occupation: Homemaker,Political Affiliation,Age Group,Preferred Film Genre: Romance,Preferred Film Genre: Horror,Preferred Film Genre: Comedy,Preferred Film Genre: Drama,Preferred Film Genre: Historical,Preferred Film Genre: Animation,Preferred Film Genre: Documentary,Preferred Film Genre: Adventure,Preferred Film Genre: Fiction,Preferred Music Genre: Rap,Preferred Music Genre: Rock,Preferred Music Genre: Classical,Preferred Music Genre: Pop,Preferred Music Genre: R&B,Preferred Music Genre: Metal,Preferred Music Genre: Hip-Hop,Preferred Music Genre: Punk,Preferred Music Genre: Techno,Preferred Music Genre: Blues,Average time spent on Internet (in hours),Number of children,Number of vehicles owned,Marital Status: Single,Marital Status: Married,Marital Status: Divorced,Marital Status: In a relationship,Marital Status: Widowed,Joke ID,isAggressive,isIncongruence,Millenial,Gen X,Gen Z,Joke Rating
0,10020787097,0.1615,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1.3777223102,1,-1,-1,-1,-1,-1,-1,-1,-1,0.008075,-0.606743504008,-1,-1,1,1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.336098435224,-1.06726987038,-1.89406820811,1,-1,-1,-1,-1,Joke 1,0,0,1,-1,-1,0.0
1,10020787097,0.1615,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1.3777223102,1,-1,-1,-1,-1,-1,-1,-1,-1,0.008075,-0.606743504008,-1,-1,1,1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.336098435224,-1.06726987038,-1.89406820811,1,-1,-1,-1,-1,Joke 2,0,0,-1,1,-1,-0.99
2,10020787097,0.1615,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1.3777223102,1,-1,-1,-1,-1,-1,-1,-1,-1,0.008075,-0.606743504008,-1,-1,1,1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.336098435224,-1.06726987038,-1.89406820811,1,-1,-1,-1,-1,Joke 3,0,0,-1,-1,1,-0.99
3,10020787097,0.1615,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1.3777223102,1,-1,-1,-1,-1,-1,-1,-1,-1,0.008075,-0.606743504008,-1,-1,1,1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.336098435224,-1.06726987038,-1.89406820811,1,-1,-1,-1,-1,Joke 4,0,0,1,-1,-1,-0.98
4,10020787097,0.1615,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1.3777223102,1,-1,-1,-1,-1,-1,-1,-1,-1,0.008075,-0.606743504008,-1,-1,1,1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.336098435224,-1.06726987038,-1.89406820811,1,-1,-1,-1,-1,Joke 5,0,0,1,-1,-1,-0.48
5,10020787097,0.1615,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1.3777223102,1,-1,-1,-1,-1,-1,-1,-1,-1,0.008075,-0.606743504008,-1,-1,1,1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.336098435224,-1.06726987038,-1.89406820811,1,-1,-1,-1,-1,Joke 6,0,0,-1,1,-1,-0.99
6,10020787097,0.1615,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1.3777223102,1,-1,-1,-1,-1,-1,-1,-1,-1,0.008075,-0.606743504008,-1,-1,1,1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.336098435224,-1.06726987038,-1.89406820811,1,-1,-1,-1,-1,Joke 7,0,0,-1,-1,1,-0.99
7,10020787097,0.1615,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1.3777223102,1,-1,-1,-1,-1,-1,-1,-1,-1,0.008075,-0.606743504008,-1,-1,1,1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.336098435224,-1.06726987038,-1.89406820811,1,-1,-1,-1,-1,Joke 8,0,0,-1,-1,1,-0.01
8,10020787097,0.1615,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1.3777223102,1,-1,-1,-1,-1,-1,-1,-1,-1,0.008075,-0.606743504008,-1,-1,1,1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.336098435224,-1.06726987038,-1.89406820811,1,-1,-1,-1,-1,Joke 9,0,0,-1,1,-1,0.0
9,10020787097,0.1615,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1.3777223102,1,-1,-1,-1,-1,-1,-1,-1,-1,0.008075,-0.606743504008,-1,-1,1,1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.336098435224,-1.06726987038,-1.89406820811,1,-1,-1,-1,-1,Joke 10,0,0,-1,1,-1,-0.43
